cleft,cleft,cright,cright,energy,direction,name,visible
Ni,H2(g),2H*,,0,<->,R1,
2H*,CO2(g),CO2*_2H*,,0,<->,R2,
CO2*_2H*,,COOH*_H*,,0.247530621236365,<->,R3,
COOH*_H*,,CO*_OH*_H*,,-0.246380710496851,<->,R4,
CO*_OH*_H*,,CO*_H2O*,,-0.623361102070248,<->,R5,
CO*_H2O*,,H2O*,CO(g),0,<->,R6,
H2O*,,Ni,H2O(g),0,<->,R7,
CO2*_2H*,,CO*_O*_2H*,,-0.740050005760168,<->,R8,
CO*_O*_2H*,,CO*_OH*_H*,,-1.03244888008066,<->,R9,
CO*_H2O*,,CO*,H2O(g),0,<->,R10,
CO*,H2(g),CO*_2H*,,0,<->,R11,
CO*_2H*,,CHO*_H*,,-0.782932791623807,<->,R12,
CHO*_H*,,CH*_H*_O*,,0.041797775115811,<->,R13,
CH*_H*_O*,H2(g),CH*_3H*_O*,,0,<->,R14,
CH*_3H*_O*,,CH*_2H*_OH*,,-1.08098883107414,<->,R15,
CH*_2H*_OH*,,CH*_H*_H2O*,,-0.671901053063266,<->,R16,
CH*_H*_H2O*,,CH*_H*,H2O(g),0,<->,R17,
CH*_H*,,CH2*,,-0.570290831085458,<->,R18,
CH2*,H2(g),CH2*_2H*,,0,<->,R19,
CH2*_2H*,,CH3*_H*,,-0.778303302470249,<->,R20,
CH3*_H*,,CH4*,,-0.736302550411438,<->,R21,
CH4*,,Ni,CH4(g),0,<->,R22,
CO*_2H*,,COH*_H*,,-0.023608889087882,<->,R23,
COH*_H*,,C*_OH*_H*,,0.15224821884658,<->,R24,
C*_OH*_H*,,C*_H2O*,,-0.165416779637781,<->,R25,
C*_H2O*,,C*,H2O(g),0,<->,R26,
C*,H2(g),C*_2H*,,0,<->,R27,
C*_2H*,,CH*_H*,,-0.731638596510948,<->,R28,
CHO*_H*,,CHOH*,,-0.395901867597331,<->,R29,
CHOH*,,CH*_OH*,,0.581741029101522,<->,R30,
CH*_OH*,H2(g),CH*_2H*_OH*,,0,<->,R31,
CHOH*,H2(g),CHOH*_2H*,,0,<->,R32,
CHOH*_2H*,,CH2OH*_H*,,-0.493785486566139,<->,R33,
CH2OH*_H*,,CH3OH*,,-0.036239262728486,<->,R34,
CH3OH*,,Ni,CH3OH(g),0,<->,R35,
COH*_H*,,CHOH*,,0.197423760060246,<->,R36,
CH2OH*_H*,,CH2*_OH*_H*,,0.061597136337241,<->,R37,
CH2*_OH*_H*,,CH2*_H2O*,,-0.987090447024912,<->,R38,
CH2*_H2O*,,CH2*,H2O(g),0,<->,R39,
CO*_2H*,,2H*,CO(g),0,<->,R40,
