name,energy,fflags,visible,opts
Ni,0.00,,,
2H*,-0.94,,,
CO2*_2H*,-0.85,,,
COOH*_H*,-0.42,,,
CO*_OH*_H*,-1.84,,,
CO*_H2O*,-1.31,,,
H2O*,0.31,,,
CO*_O*_2H*,-2.29,,,
CO*,-1.32,,,
CO*_2H*,-2.26,,,
CHO*_H*,-0.74,,,
CH*_H*_O*,-1.44,,,
CH*_3H*_O*,-2.38,,,
CH*_2H*_OH*,-1.93,,,
CH*_H*_H2O*,-1.40,,,
CH*_H*,-1.41,,,
CH2*,-0.92,,,
CH2*_2H*,-1.86,,,
CH3*_H*,-1.33,,,
CH4*,-1.27,,,
COH*_H*,-0.87,,,
C*_OH*_H*,-0.57,,,
C*_H2O*,-0.04,,,
C*,-0.05,,,
C*_2H*,-0.99,,,
CHOH*,0.09,,,
CH*_OH*,-0.99,,,
CHOH*_2H*,-0.85,,,
CH2OH*_H*,-0.52,,,
CH3OH*,-0.40,,,
CH2*_OH*_H*,-1.44,,,
CH2*_H2O*,-0.91,,,
H2(g),0.00,i,,
CO2(g),0.00,i,,
CO(g),0.22,i,,
H2O(g),0.22,i,,
CH3OH(g),0.04,i,,
CH4(g),-0.86,i,,
