cleft,cleft,cright,cright,energy,direction,name,visible
Ni,H2(g),2H*,,0,<->,R1,
2H*,CO2(g),CO2*_2H*,,0,<->,R2,
CO2*_2H*,,CO*_O*_2H*,,-0.416349005385428,<->,R3,
CO*_O*_2H*,,CO*_OH*_H*,,-1.04394184140619,<->,R4,
CO*_OH*_H*,,CO*_H2O*,,-0.438298331055194,<->,R5,
CO*_H2O*,,CO*,H2O(g),0,<->,R6,
CO*,Ad,CO*_Ad,Ni,0,<->,"R7",
CO*_Ad,H2(g),CO*_2H*_Ad,,0,<->,R8,
CO*_2H*_Ad,,CHO*_H*_Ad,,-0.741062825786758,<->,R9,
CHO*_H*_Ad,Ni,CHO*_H*,Ad,0,<->,"R10",
CHO*_H*,,CH*_O*_H*,,0.165014496023105,<->,R11,
CH*_O*_H*,H2(g),CH*_O*_3H*,,0,<->,R12,
CH*_O*_3H*,,CH*_OH*_2H*,,-1.07360509089426,<->,R13,
CH*_OH*_2H*,,CH*_H2O*_H*,,-0.46796158054326,<->,R14,
CH*_H2O*_H*,,CH*_H*,H2O(g),0,<->,R15,
CH*_H*,Ad,CH*_H*_Ad,Ni,0,<->,"R16",
CH*_H*_Ad,,CH2*_Ad,,-0.88047402121418,<->,R17,
CH2*_Ad,H2(g),CH2*_2H*_Ad,,0,<->,R18,
CH2*_2H*_Ad,,CH3*_H*_Ad,,-0.956105224148775,<->,R19,
CH3*_H*_Ad,,CH4*_Ad,,-1.33685222490972,<->,R20,
CH4*_Ad,,CH4(g),Ad,0,<->,R21,
