cleft,cleft,cright,cright,energy,direction,name,visible
Ni,H2(g),2H*,,0.00,<->,R1,
2H*,CO2(g),CO2*_2H*,,0.00,<->,R2,
CO2*_2H*,,COOH*_H*,,0.96,<->,R3,
COOH*_H*,,CO*_OH*_H*,,0.72,<->,R4,
CO*_OH*_H*,,CO*_H2O*,,1.01,<->,R5,
CO*_H2O*,,H2O*,CO(g),0.00,<->,R6,
H2O*,,Ni,H2O(g),0.00,<->,R7,
CO2*_2H*,,CO*_O*_2H*,,1.04,<->,R8,
CO*_O*_2H*,,CO*_OH*_H*,,1.96,<->,R9,
CO*_H2O*,,CO*,H2O(g),0.00,<->,R10,
CO*,H2(g),CO*_2H*,,0.00,<->,R11,
CO*_2H*,,CHO*_H*,,-0.32,<->,R12,
CHO*_H*,,CH*_H*_O*,,-0.27,<->,R13,
CH*_H*_O*,H2(g),CH*_3H*_O*,,0.00,<->,R14,
CH*_3H*_O*,,CH*_2H*_OH*,,3.44,<->,R15,
CH*_2H*_OH*,,CH*_H*_H2O*,,2.49,<->,R16,
CH*_H*_H2O*,,CH*_H*,H2O(g),0.00,<->,R17,
CH*_H*,,CH2*,,-0.71,<->,R18,
CH2*,H2(g),CH2*_2H*,,0.00,<->,R19,
CH2*_2H*,,CH3*_H*,,-1.13,<->,R20,
CH3*_H*,,CH4*,,-1.39,<->,R21,
CH4*,,Ni,CH4(g),0.00,<->,R22,
CO*_2H*,,COH*_H*,,0.63,<->,R23,
COH*_H*,,C*_OH*_H*,,0.59,<->,R24,
C*_OH*_H*,,C*_H2O*,,3.45,<->,R25,
C*_H2O*,,C*,H2O(g),0.00,<->,R26,
C*,H2(g),C*_2H*,,0.00,<->,R27,
C*_2H*,,CH*_H*,,0.61,<->,R28,
CHO*_H*,,CHOH*,,0.27,<->,R29,
CHOH*,,CH*_OH*,,0.11,<->,R30,
CH*_OH*,H2(g),CH*_2H*_OH*,,0.00,<->,R31,
CHOH*,H2(g),CHOH*_2H*,,0.00,<->,R32,
CHOH*_2H*,,CH2OH*_H*,,0.46,<->,R33,
CH2OH*_H*,,CH3OH*,,-0.29,<->,R34,
CH3OH*,,Ni,CH3OH(g),0.00,<->,R35,
COH*_H*,,CHOH*,,0.05,<->,R36,
CH2OH*_H*,,CH2*_OH*_H*,,0.21,<->,R37,
CH2*_OH*_H*,,CH2*_H2O*,,-1.94,<->,R38,
CH2*_H2O*,,CH2*,H2O(g),0.00,<->,R39,
CO*_2H*,,2H*,CO(g),0.00,<->,R40,
