name,energy,fflags,visible,opts
Ni,0.00,,,
2H*,-0.78,,,
CO2*_2H*,-0.69,,,
COOH*_H*,0.17,,,
CO*_OH*_H*,-0.72,,,
CO*_H2O*,-0.86,,,
H2O*,0.58,,,
CO*_O*_2H*,-0.60,,,
CO*,-1.13,,,
CO*_2H*,-1.92,,,
CHO*_H*,-0.53,,,
CH*_H*_O*,0.64,,,
CH*_3H*_O*,-0.14,,,
CH*_2H*_OH*,-0.26,,,
CH*_H*_H2O*,-0.40,,,
CH*_H*,-0.67,,,
CH2*,-0.17,,,
CH2*_2H*,-0.95,,,
CH3*_H*,-0.55,,,
CH4*,-1.25,,,
COH*_H*,-0.54,,,
C*_OH*_H*,0.89,,,
C*_H2O*,0.75,,,
C*,0.47,,,
C*_2H*,-0.31,,,
CHOH*,-0.35,,,
CH*_OH*,0.52,,,
CHOH*_2H*,-1.14,,,
CH2OH*_H*,-0.54,,,
CH3OH*,-0.06,,,
CH2*_OH*_H*,0.25,,,
CH2*_H2O*,0.11,,,
H2(g),0.00,i,,
CO2(g),-0.78,i,,
CO(g),-0.69,i,,
H2O(g),0.17,i,,
CH3OH(g),-0.72,i,,
CH4(g),-0.86,i,,
