Label,theta
Ni,4.20283604371629E-19
2H*,0.001288734848053
CO2*_2H*,0.720588724759964
COOH*_H*,2.68291333426854E-05
CO*_OH*_H*,0.000413430240155
CO*_H2O*,6.19216645121037E-14
H2O*,3.78225046322614E-33
CO*_O*_2H*,0.277150489409076
CO*,1.78776462030941E-11
CO*_2H*,0.000531791591467
CHO*_H*,9.87767681023025E-21
CH*_H*_O*,7.05964405061967E-38
CH*_3H*_O*,4.11844117808071E-29
CH*_2H*_OH*,2.59895039335505E-30
CH*_H*_H2O*,3.89258739900983E-40
CH*_H*,4.13051835560012E-30
CH2*,6.02941026278982E-38
CH2*_2H*,5.35631868698354E-31
CH3*_H*,2.24172780648084E-35
CH4*,1.11946632997734E-41
COH*_H*,4.07127547269661E-16
C*_OH*_H*,3.47443253471093E-30
C*_H2O*,5.20384395825729E-40
C*,1.5024220637692E-37
C*_2H*,1.56342679218646E-30
CHOH*,1.48454485200577E-27
CH*_OH*,3.09070609696252E-36
CHOH*_2H*,2.12874843993558E-20
CH2OH*_H*,2.5593777752241E-28
CH3OH*,1.1307933924556E-37
CH2*_OH*_H*,1.81351761072741E-31
CH2*_H2O*,1.16050684526575E-39
H2(g),0.8
CO2(g),0.2
CO(g),0
H2O(g),0
CH3OH(g),0
CH4(g),0
