name,energy,fflags,visible,opts,conc
i0,0.0,,,,0.9970080370260024
i1,-0.63,,,,0.0029919629145723
i2,-0.22,,,,5.942600806861722e-11
i3,0.24,,,,4.357562496048683e-17
i4,-0.47,,,,9.963521046441696e-23
i5,-0.17,,,,1.0373722855710908e-31
i6,-0.69,,,,2.044666561884892e-32
i7,-1.32,,,,8.922334220378012e-36
i8,0.37,,,,2.1187941626062167e-56
i9,1.18,,,,7.69507479305735e-68
i10,0.55,,,,2.3289545951563066e-71
i11,1.44,,,,1.9325878525453385e-85
i12,2.17,,,,7.736284563406671e-98
i13,-0.02,,,,9.220108287116701e-54
i14,1.55,,,,1.2005523410273267e-73
i15,0.95,,,,3.6335193636880174e-77
i16,1.73,,,,6.429267971144303e-93
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
