cleft,cleft,cright,cright,energy,direction,name,visible
i0,H2(g),i1,,0.0,<->,R1,
i1,CO2(g),i2,,0.0,<->,R2,
i2,,i3,,0.43,<->,R3,
i3,,i4,,0.82,<->,R4,
i4,,i5,,0.47,<->,R5,
i5,,i6,H2O(g),0.0,<->,R6,
i6,,i0,CO(g),0.0,<->,R7,
i6,H2(g),i7,,0.0,<->,R8,
i7,,i8,,0.93,<->,R9,
i8,,i9,,1.57,<->,R10,
i9,H2(g),i10,,0.0,<->,R11,
i10,,i11,,2.04,<->,R12,
i11,,i12,,2.73,<->,R13,
i12,,i0,CH3OH(g),0.0,<->,R14,
i7,,i13,,0.63,<->,R15,
i13,,i9,,1.75,<->,R16,
i13,,i14,,2.14,<->,R17,
i14,H2(g),i15,,0.0,<->,R18,
i15,,i16,,2.63,<->,R19,
i15,,i11,,3.22,<->,R20,
i16,,i12,,2.73,<->,R21,
