name,energy,fflags,visible,opts,conc
i0,0.0,,,,3.55389333302219e-16
i1,-0.63,,,,0.0002061136426185
i2,-0.22,,,,0.0499947853394004
i3,0.24,,,,4.496128462216093e-06
i4,-0.47,,,,0.0075839614900536
i5,-0.17,,,,4.093883319465201e-11
i6,-0.69,,,,1.5760216420210057e-08
i7,-1.32,,,,0.942210627594842
i8,0.37,,,,1.2875649556763294e-15
i9,1.18,,,,1.2369301926100821e-23
i10,0.55,,,,9.234677403812908e-17
i11,1.44,,,,1.3721688400917806e-24
i12,2.17,,,,6.373002054962698e-36
i13,-0.02,,,,3.467388367091233e-12
i14,1.55,,,,1.3368379492424228e-28
i15,0.95,,,,9.979222882083293e-22
i16,1.73,,,,1.18494187509369e-28
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
