Label,theta
i0,5.928116616386666e-17
i1,3.4376478263413516e-05
i2,0.008338335248653891
i3,7.498827364586522e-07
i4,0.0012648841903157141
i5,6.8279464427397915e-12
i6,2.62915266430364e-09
i7,0.9903616515604053
i8,1.3533692416885448e-15
i9,1.3001521704354172e-23
i10,1.7624903944765848e-16
i11,2.618939337698631e-24
i12,1.216780864591739e-35
i13,3.644656333436409e-12
i14,1.4051942063846492e-28
i15,1.9047180216846126e-21
i16,2.2879088996360274e-28
H2(g),0.8
CO2(g),0.2
H2O(g),0.0
CO(g),0.0
CH3OH(g),0.0
