Label,theta
i0,0.9970080370260025
i1,0.002991962914572306
i2,5.942600806861723e-11
i3,4.357562496048683e-17
i4,9.963521046441697e-23
i5,1.0373722855710908e-31
i6,2.044666561884892e-32
i7,8.922334220378012e-36
i8,2.1187941626062163e-56
i9,7.69507479305735e-68
i10,2.3289545951563066e-71
i11,1.9325878525453385e-85
i12,7.736284563406671e-98
i13,9.220108287116702e-54
i14,1.2005523410273267e-73
i15,3.6335193636880174e-77
i16,6.429267971144303e-93
H2(g),0.8
CO2(g),0.2
H2O(g),0.0
CO(g),0.0
CH3OH(g),0.0
