name,energy,fflags,visible,opts
Ni,0.00,,,
2H*,-0.84,,,
CO2*_2H*,-1.41,,,
COOH*_H*,-0.93,,,
CO*_OH*_H*,-2.26,,,
CO*_H2O*,-1.25,,,
H2O*,0.09,,,
CO*_O*_2H*,-2.29,,,
CO*,-1.34,,,
CO*_2H*,-2.18,,,
CHO*_H*,-1.14,,,
CH*_H*_O*,-1.71,,,
CH*_3H*_O*,-2.55,,,
CH*_2H*_OH*,-2.52,,,
CH*_H*_H2O*,-1.81,,,
CH*_H*,-1.60,,,
CH2*,-0.94,,,
CH2*_2H*,-1.78,,,
CH3*_H*,-1.80,,,
CH4*,-1.32,,,
COH*_H*,-1.09,,,
C*_OH*_H*,-2.03,,,
C*_H2O*,-1.32,,,
C*,-1.11,,,
C*_2H*,-1.94,,,
CHOH*,-0.38,,,
CH*_OH*,-1.69,,,
CHOH*_2H*,-1.21,,,
CH2OH*_H*,-0.91,,,
CH3OH*,-0.52,,,
CH2*_OH*_H*,-1.87,,,
CH2*_H2O*,-1.15,,,
H2(g),0,i,,
CO2(g),0,i,,
CO(g),0.223431317148425,i,,
H2O(g),0.223431317148425,i,,
CH3OH(g),0.039513597895621,i,,
CH4(g),-0.859631935044717,i,,
