cleft,cleft,cright,cright,energy,direction,name,visible
Ni,H2(g),2H*,,0,<->,R1,
2H*,CO2(g),CO2*_2H*,,0,<->,R2,
CO2*_2H*,,COOH*_H*,,-0.267597191444565,<->,R3,
COOH*_H*,,CO*_OH*_H*,,-0.177628352343618,<->,R4,
CO*_OH*_H*,,CO*_H2O*,,-1.16752378519095,<->,R5,
CO*_H2O*,,H2O*,CO(g),0,<->,R6,
H2O*,,Ni,H2O(g),0,<->,R7,
CO2*_2H*,,CO*_O*_2H*,,-0.757435833306317,<->,R8,
CO*_O*_2H*,,CO*_OH*_H*,,-1.43729839188336,<->,R9,
CO*_H2O*,,CO*,H2O(g),0,<->,R10,
CO*,H2(g),CO*_2H*,,0,<->,R11,
CO*_2H*,,CHO*_H*,,-0.591105558769868,<->,R12,
CHO*_H*,,CH*_H*_O*,,-0.312032356615873,<->,R13,
CH*_H*_O*,H2(g),CH*_3H*_O*,,0,<->,R14,
CH*_3H*_O*,,CH*_2H*_OH*,,-1.69708618839331,<->,R15,
CH*_2H*_OH*,,CH*_H*_H2O*,,-1.42731158170136,<->,R16,
CH*_H*_H2O*,,CH*_H*,H2O(g),0,<->,R17,
CH*_H*,,CH2*,,-0.735840648063004,<->,R18,
CH2*,H2(g),CH2*_2H*,,0,<->,R19,
CH2*_2H*,,CH3*_H*,,-0.982641784575662,<->,R20,
CH3*_H*,,CH4*,,-0.223367936380782,<->,R21,
CH4*,,Ni,CH4(g),0,<->,R22,
CO*_2H*,,COH*_H*,,-0.738354525065461,<->,R23,
COH*_H*,,C*_OH*_H*,,-0.331581273714619,<->,R24,
C*_OH*_H*,,C*_H2O*,,-0.936133727109791,<->,R25,
C*_H2O*,,C*,H2O(g),0,<->,R26,
C*,H2(g),C*_2H*,,0,<->,R27,
C*_2H*,,CH*_H*,,-1.1719445605022,<->,R28,
CHO*_H*,,CHOH*,,-0.198312605526553,<->,R29,
CHOH*,,CH*_OH*,,0.569121766227454,<->,R30,
CH*_OH*,H2(g),CH*_2H*_OH*,,0,<->,R31,
CHOH*,H2(g),CHOH*_2H*,,0,<->,R32,
CHOH*_2H*,,CH2OH*_H*,,-0.728821621617954,<->,R33,
CH2OH*_H*,,CH3OH*,,0.051042568438788,<->,R34,
CH3OH*,,Ni,CH3OH(g),0,<->,R35,
COH*_H*,,CHOH*,,-0.025533373888266,<->,R36,
CH2OH*_H*,,CH2*_OH*_H*,,-0.224397039519772,<->,R37,
CH2*_OH*_H*,,CH2*_H2O*,,-1.7861697256908,<->,R38,
CH2*_H2O*,,CH2*,H2O(g),0,<->,R39,
CO*_2H*,,2H*,CO(g),0,<->,R40,
