name,energy,fflags,visible,opts,conc
i0,0.0,,,,9.452746967937795e-21
i1,-0.63,,,,8.738046812004567e-16
i2,-0.22,,,,3.961884654628088e-14
i3,0.24,,,,3.562999820557532e-18
i4,-0.47,,,,5.323484424738165e-15
i5,-0.17,,,,2.8736596438758413e-23
i6,-0.69,,,,7.190878552560086e-13
i7,-1.32,,,,0.9999999999955544
i8,-0.02,,,,1.3665412282038859e-15
i9,1.18,,,,1.3128910704865049e-23
i10,0.55,,,,1.529530895732251e-15
i11,1.44,,,,2.2728504458479715e-23
i12,2.17,,,,1.0563837044272982e-34
i13,0.54,,,,3.680139907518839e-12
i14,1.55,,,,1.419067245390953e-28
i15,0.95,,,,1.653079797647128e-20
i16,1.73,,,,2.0104558267996037e-27
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
