Label,theta
i0,9.452746967937795e-21
i1,8.738046812004567e-16
i2,3.9618846546280875e-14
i3,3.562999820557532e-18
i4,5.323484424738165e-15
i5,2.873659643875841e-23
i6,7.190878552560086e-13
i7,0.9999999999955544
i8,1.366541228203886e-15
i9,1.3128910704865049e-23
i10,1.529530895732251e-15
i11,2.2728504458479712e-23
i12,1.0563837044272982e-34
i13,3.680139907518839e-12
i14,1.4190672453909533e-28
i15,1.653079797647128e-20
i16,2.0104558267996033e-27
H2(g),0.8
CO2(g),0.2
H2O(g),0.0
CO(g),0.0
CH3OH(g),0.0
