Label,theta
i0,2.7230941693515327e-25
i1,8.26045098115247e-10
i2,3.8288745629277127e-07
i3,1.4255622840877281e-11
i4,1.0829426821382933e-07
i5,1.621981338941921e-17
i6,9.90725898414294e-37
i7,0.0003333892923161177
i8,5.008897966082686e-15
i9,0.9996661186829949
i10,1.8568136722498407e-17
i11,1.3284247218352817e-34
i12,4.131391329420983e-22
i13,1.3905853376727613e-25
i14,2.0827542446272031e-35
i15,3.484038524448885e-20
i16,3.0725473540997956e-29
i17,5.090576060982814e-21
i18,2.1305642391509103e-25
i19,1.0639538500471851e-31
i20,7.748200594501035e-13
i21,1.5446937430146182e-26
i22,2.3135706689507824e-36
i23,6.694774220779452e-34
i24,4.652824073090195e-21
i25,2.8254932319663686e-24
i26,5.8824558312099545e-33
i27,1.8830699195836463e-12
i28,2.264005975538876e-20
i29,1.0002911735113278e-29
i30,1.6659078691460928e-23
i31,1.0660483663164728e-31
H2(g),0.8
CO2(g),0.2
CO(g),0.0
H2O(g),0.0
CH4(g),0.0
CH3OH(g),0.0
