name,energy,fflags,visible,opts
A,0,b,,
N,0,b,,
W,0,b,,
[A+N],-0.025801307622308,b,,
[A+W],-0.123348462228058,b,,
[N+W],-0.245959819682571,b,,
[W+W],-0.160008177324546,b,,
[N+N],-0.059735828219674,b,,
[A+N+W],-0.188566952170014,b,,
[A+N+N],-0.171427253226381,b,,
[A+W+W],-0.280131245100024,b,,
[N+W+W],-0.449445392317382,b,,
[N+N+W],-0.325379041304551,b,,
[W+W+W],-0.415230594298094,b,,
[A+N+N+W],-0.446576061402105,b,,
[A+N+W+W],-0.535044513359179,b,,
H,0.16873908632943,b,,
[H+W],-0.124049620741838,b,,
[H+N],0.034223528137439,b,,
[H+N+W],-0.284180793592186,b,,
[H+W+W],-0.422638954744497,b,,
I,-0.037718918844151,b,,
[I+W],-0.243133534831915,b,,
[I+N],-0.121387173363726,b,,
[I+W+W],-0.430656682537293,b,,
[I+N+W],-0.37399424825599,b,,
[I+N+W+W],-0.586667477986744,b,,
[I+W+W+W],-0.60757543881437,b,,
