cleft,cleft,cright,cright,energy,direction,name,visible
A,N,[A+N],,0.086726916046617,<->,R0,
A,W,[A+W],,0.086726916046617,<->,R1,
N,W,[N+W],,0.086726916046617,<->,R2,
N,N,[N+N],,0.086726916046617,<->,R3,
W,W,[W+W],,0.086726916046617,<->,R4,
A,[N+W],[A+N+W],,-0.101840036123398,<->,R5,
A,[N+N],[A+N+N],,0.026991087826943,<->,R6,
A,[W+W],[A+W+W],,-0.07328126127793,<->,R7,
N,[A+N],[A+N+N],,0.060925608424309,<->,R8,
N,[A+W],[A+N+W],,-0.036621546181442,<->,R9,
N,[N+W],[N+N+W],,-0.159232903635954,<->,R10,
N,[W+W],[N+W+W],,-0.07328126127793,<->,R11,
W,[A+N],[A+N+W],,0.060925608424309,<->,R12,
W,[A+W],[A+W+W],,-0.036621546181442,<->,R13,
W,[N+W],[N+W+W],,-0.159232903635954,<->,R14,
W,[N+N],[N+N+W],,0.026991087826943,<->,R15,
W,[W+W],[W+W+W],,-0.07328126127793,<->,R16,
[A+N],[N+W],[A+N+N+W],,-0.185034211258262,<->,R17,
[A+N],[W+W],[A+N+W+W],,-0.099082568900238,<->,R18,
[A+W],[N+W],[A+N+W+W],,-0.282581365864012,<->,R19,
[A+W],[N+N],[A+N+N+W],,-0.096357374401116,<->,R20,
[A+N],,H,,1.43998535286013,<->,R21,
[A+N+W],,[H+W],,0.542724973581396,<->,R22,
[A+N+N],,[H+N],,0.803934549261591,<->,R23,
[A+N+W+W],,[H+W+W],,0.122640031160931,<->,R24,
[A+N+N+W],,[H+N+W],,0.24966178511621,<->,R25,
[H+W],,H,W,0.255466002376046,<->,R26,
[H+N],,H,N,0.255466002376046,<->,R27,
[H+N+W],,H,[N+W],0.009506182693476,<->,R28,
[H+N+W],,[H+N],W,0.120950444184056,<->,R29,
[H+N+W],,[H+W],N,-0.037322704695222,<->,R30,
[H+W+W],,H,[W+W],0.095457825051501,<->,R31,
[H+W+W],,[H+W],W,-0.037322704695222,<->,R32,
H,,[I+W],,2.01275228821883,<->,R33,
[H+W],,[I+W+W],,1.16066141794721,<->,R34,
[H+N],,[I+N+W],,1.1524052070728,<->,R35,
[H+W+W],,[I+W+W+W],,0.296285335280338,<->,R36,
[H+N+W],,[I+N+W+W],,0.342172762653017,<->,R37,
[I+W],,I,W,0.049007997202466,<->,R38,
[I+W+W],,I,[W+W],-0.111000180122081,<->,R39,
[I+W+W],,[I+W],W,-0.156406618785298,<->,R40,
[I+N+W],,I,[N+W],-0.196951822480106,<->,R41,
[I+N+W],,[I+N],W,-0.03466025731711,<->,R42,
[I+N+W],,[I+W],N,-0.156406618785298,<->,R43,
[I+N+W+W],,I,[N+W+W],-0.400437395114917,<->,R44,
[I+N+W+W],,[I+N],[W+W],-0.194668434641656,<->,R45,
[I+N+W+W],,[I+W],[N+W],-0.40236643846787,<->,R46,
[I+N+W+W],,[I+W+W],N,-0.343929766490676,<->,R47,
[I+N+W+W],,[I+N+W],W,-0.287267332209373,<->,R48,
[I+W+W+W],,I,[W+W+W],-0.366222597095628,<->,R49,
[I+W+W+W],,[I+W],[W+W],-0.316414796109844,<->,R50,
[I+W+W+W],,[I+W+W],W,-0.343929766490676,<->,R51,
