name,energy,fflags,visible,opts
A,0,b,,
N,0,b,,
W,0,b,,
[A+N],0.054601376294713,b,,
[A+W],-0.040420832505131,b,,
[N+W],-0.156395819304666,b,,
[W+W],-0.087387708905654,b,,
[N+N],0.036315315496024,b,,
[A+N+W],0.014479869190373,b,,
[A+N+N],0.029609407589297,b,,
[A+W+W],-0.101413483410915,b,,
[N+W+W],-0.276409996809926,b,,
[N+N+W],-0.155999551810762,b,,
[W+W+W],-0.174938686210896,b,,
[A+N+N+W],-0.118051552312673,b,,
[A+N+W+W],-0.231060496511962,b,,
H,0.258741299095937,b,,
[H+W],0.093229660792631,b,,
[H+N],0.197095574590255,b,,
[H+N+W],0.033053351886334,b,,
[H+W+W],-0.095901472712913,b,,
I,-0.047238990401383,b,,
[I+W],-0.14981066050273,b,,
[I+N],-0.031359436304807,b,,
[I+W+W],-0.256382406409447,b,,
[I+N+W],-0.169414772009375,b,,
[I+N+W+W],-0.32698068151418,b,,
[I+W+W+W],-0.336178134712614,b,,
