name,energy,fflags,visible,opts
A,0,b,,
N,0,b,,
W,0,b,,
[A+N],0.275324945197833,b,f,
[A+W],0.180302736399535,b,f,
[N+W],0.064327749600001,b,,
[W+W],0.133335859999786,b,f,
[N+N],0.257038884400691,b,f,
[A+N+W],0.455927006996612,b,,
[A+N+N],0.47105654539863,b,f,
[A+W+W],0.340033654398419,b,f,
[N+W+W],0.165037140999408,b,,
[N+N+W],0.285447586000118,b,f,
[W+W+W],0.266508451599211,b,f,
[A+N+N+W],0.54411915439978,b,,
[A+N+W+W],0.431110210200491,b,,
H,0.479464867999057,b,f,
[H+W],0.534676798598871,b,f,
[H+N],0.638542712399589,b,f,
[H+N+W],0.695224058598787,b,,
[H+W+W],0.566269233999541,b,,
I,-0.047238990401383,b,,
[I+W],0.07091290840039,b,,
[I+N],0.189364132601406,b,f,
[I+W+W],0.185064731396793,b,,
[I+N+W],0.272032365799959,b,,
[I+N+W+W],0.335190025198273,b,,
[I+W+W+W],0.32599257199984,b,,
