cleft,cleft,cright,cright,energy,direction,name,visible
A,N,[A+N],,0.548081096164442,<->,R0,
A,W,[A+W],,0.458785385886601,<->,R1,
N,W,[N+W],,0.458785385886601,<->,R2,
N,N,[N+N],,0.5297950353673,<->,R3,
W,W,[W+W],,0.458785385886601,<->,R4,
A,[N+W],[A+N+W],,0.728683157963221,<->,R5,
A,[N+N],[A+N+N],,0.743812696365239,<->,R6,
A,[W+W],[A+W+W],,0.612789805365028,<->,R7,
N,[A+N],[A+N+N],,0.743812696365239,<->,R8,
N,[A+W],[A+N+W],,0.728683157963221,<->,R9,
N,[N+W],[N+N+W],,0.558203736966727,<->,R10,
N,[W+W],[N+W+W],,0.592121245886387,<->,R11,
W,[A+N],[A+N+W],,0.734110331084434,<->,R12,
W,[A+W],[A+W+W],,0.639088122286136,<->,R13,
W,[N+W],[N+W+W],,0.523113135486602,<->,R14,
W,[N+N],[N+N+W],,0.715824270287292,<->,R15,
W,[W+W],[W+W+W],,0.592121245886387,<->,R16,
[A+N],[N+W],[A+N+N+W],,0.816875305366389,<->,R17,
[A+N],[W+W],[A+N+W+W],,0.86744619108422,<->,R18,
[A+W],[N+W],[A+N+W+W],,0.7038663611671,<->,R19,
[A+W],[N+N],[A+N+N+W],,0.896127006686827,<->,R20,
[A+N],,H,,1.8587956271194,<->,R21,
[A+N+W],,[H+W],,1.27252601411776,<->,R22,
[A+N+N],,[H+N],,1.55130680711924,<->,R23,
[A+N+W+W],,[H+W+W],,1.19894638852101,<->,R24,
[A+N+N+W],,[H+N+W],,1.33892183011718,<->,R25,
[H+W],,H,W,0.938250253885658,<->,R26,
[H+N],,H,N,0.938250253885658,<->,R27,
[H+N+W],,H,[N+W],1.00257800348566,<->,R28,
[H+N+W],,[H+N],W,1.09732809828619,<->,R29,
[H+N+W],,[H+W],N,0.993462184485472,<->,R30,
[H+W+W],,H,[W+W],1.07158611388544,<->,R31,
[H+W+W],,[H+W],W,0.993462184485472,<->,R32,
H,,[I+W],,2.33600194891797,<->,R33,
[H+W],,[I+W+W],,1.75805902431696,<->,R34,
[H+N],,[I+N+W],,1.9298990153193,<->,R35,
[H+W+W],,[I+W+W+W],,1.40188900971907,<->,R36,
[H+N+W],,[I+N+W+W],,1.43182154971774,<->,R37,
[I+W],,I,W,0.411546395485218,<->,R38,
[I+W+W],,I,[W+W],0.544882255485004,<->,R39,
[I+W+W],,[I+W],W,0.529698294286991,<->,R40,
[I+N+W],,I,[N+W],0.544788516766568,<->,R41,
[I+N+W],,[I+N],W,0.648149518488007,<->,R42,
[I+N+W],,[I+W],N,0.544788516766568,<->,R43,
[I+N+W+W],,I,[N+W+W],0.607946176164882,<->,R44,
[I+N+W+W],,[I+N],[W+W],0.781485378487793,<->,R45,
[I+N+W+W],,[I+W],[N+W],0.607946176164882,<->,R46,
[I+N+W+W],,[I+W+W],N,0.643850117283394,<->,R47,
[I+N+W+W],,[I+N+W],W,0.73081775168656,<->,R48,
[I+W+W+W],,I,[W+W+W],0.678054847084429,<->,R49,
[I+W+W+W],,[I+W],[W+W],0.663034154286777,<->,R50,
[I+W+W+W],,[I+W+W],W,0.643850117283394,<->,R51,
