cleft,cleft,cright,cright,energy,direction,name,visible
A,N,[A+N],,0.14132829234133,<->,R0,
A,W,[A+W],,0.086726916046617,<->,R1,
N,W,[N+W],,0.086726916046617,<->,R2,
N,N,[N+N],,0.123042231542641,<->,R3,
W,W,[W+W],,0.086726916046617,<->,R4,
A,[N+W],[A+N+W],,0.10120678523699,<->,R5,
A,[N+N],[A+N+N],,0.123042231542641,<->,R6,
A,[W+W],[A+W+W],,-0.000660792859038,<->,R7,
N,[A+N],[A+N+N],,0.14132829234133,<->,R8,
N,[A+W],[A+N+W],,0.10120678523699,<->,R9,
N,[N+W],[N+N+W],,-0.069272635764146,<->,R10,
N,[W+W],[N+W+W],,-0.000660792859038,<->,R11,
W,[A+N],[A+N+W],,0.14132829234133,<->,R12,
W,[A+W],[A+W+W],,0.046306083541486,<->,R13,
W,[N+W],[N+W+W],,-0.06966890325805,<->,R14,
W,[N+N],[N+N+W],,0.123042231542641,<->,R15,
W,[W+W],[W+W+W],,-0.000660792859038,<->,R16,
[A+N],[N+W],[A+N+N+W],,-0.015067526963337,<->,R17,
[A+N],[W+W],[A+N+W+W],,0.053940583435676,<->,R18,
[A+W],[N+W],[A+N+W+W],,-0.110089735763181,<->,R19,
[A+W],[N+N],[A+N+N+W],,0.08262139903751,<->,R20,
[A+N],,H,,1.45204282329629,<->,R21,
[A+N+W],,[H+W],,0.64504964139153,<->,R22,
[A+N+N],,[H+N],,0.923830434389918,<->,R23,
[A+N+W+W],,[H+W+W],,0.350746446888566,<->,R24,
[A+N+N+W],,[H+N+W],,0.490721888484736,<->,R25,
[H+W],,H,W,0.345468215142554,<->,R26,
[H+N],,H,N,0.345468215142554,<->,R27,
[H+N+W],,H,[N+W],0.189072395837888,<->,R28,
[H+N+W],,[H+N],W,0.283822490636872,<->,R29,
[H+N+W],,[H+W],N,0.179956576839247,<->,R30,
[H+W+W],,H,[W+W],0.2580805062369,<->,R31,
[H+W+W],,[H+W],W,0.179956576839247,<->,R32,
H,,[I+W],,1.92924914509486,<->,R33,
[H+W],,[I+W+W],,1.13058265159073,<->,R34,
[H+N],,[I+N+W],,1.30242264258998,<->,R35,
[H+W+W],,[I+W+W+W],,0.553689068086625,<->,R36,
[H+N+W],,[I+N+W+W],,0.583621608085299,<->,R37,
[I+W],,I,W,0.039487925645234,<->,R38,
[I+W+W],,I,[W+W],-0.047899783260421,<->,R39,
[I+W+W],,[I+W],W,-0.063083744456114,<->,R40,
[I+N+W],,I,[N+W],-0.082687855962759,<->,R41,
[I+N+W],,[I+N],W,0.05536747974181,<->,R42,
[I+N+W],,[I+W],N,-0.063083744456114,<->,R43,
[I+N+W+W],,I,[N+W+W],-0.236922071164692,<->,R44,
[I+N+W+W],,[I+N],[W+W],-0.032020229163845,<->,R45,
[I+N+W+W],,[I+W],[N+W],-0.219479563760779,<->,R46,
[I+N+W+W],,[I+W+W],N,-0.16965549036283,<->,R47,
[I+N+W+W],,[I+N+W],W,-0.082687855962759,<->,R48,
[I+W+W+W],,I,[W+W+W],-0.135450760565662,<->,R49,
[I+W+W+W],,[I+W],[W+W],-0.150471453361767,<->,R50,
[I+W+W+W],,[I+W+W],W,-0.16965549036283,<->,R51,
